headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
it's not without its problems,idiom,B2,Uning ham o'z muammolari bor,Там тоже есть свои проблемы,"Used to acknowledge that something has benefits, but still faces specific challenges.",,20657,idioms,"Digital learning is great, but it's not without its problems.","Raqamli ta'lim zo'r, ammo uning ham o'z muammolari bor.",,It has flaws | It faces challenges,It's absolutely perfect | It's flawless,certainly not without its problems | hardly without its problems,It is not without problem.
a real thorn in my side,idiom,C1,Mening uchun doimiy tashvish/muammo,Постоянное беспокойство/проблема для меня,"Used to describe a persistent, ongoing problem that is very annoying and difficult to ignore.",,20659,idioms,The lack of parking space has been a real thorn in my side for months.,To'xtash joyining yetishmasligi bir necha oydan beri mening doimiy muammom bo'lib kelmoqda.,,A major headache | A persistent bother,A breath of fresh air | A great help,become a real thorn | constant thorn | a thorn in the side of | remain a thorn,A thorn in my body.
a bit of a pain,idiom,B1,Bir oz noqulaylik,Немного неловко,"Used when something is annoying, frustrating, or inconvenient, but not a life-changing disaster.",,20661,idioms,Waiting for the bus in the rain is a bit of a pain.,Yomg'irda avtobus kutish biroz noqulaylik.,,hassle | nuisance | inconvenience,a breeze | a piece of cake,real pain | a bit of a pain | total pain | to be a pain in the neck,"Using it to describe serious issues (e.g., poverty)"
it's a bit of a let-down,idiom,B2,Bu biroz ko'ngilni qoldiradigan holat,Это немного разочаровывает,Used when something is disappointing because it didn't meet expectations or had a hidden flaw.,,20663,idioms,"The movie had great reviews, but the ending was a bit of a let-down.","Film haqida yaxshi fikrlar bo'lsa ham, uning yakuni biroz ko'ngilni qoldirdi.",,disappointment | anti-climax,A pleasant surprise | Exceeded expectations,major let-down | bit of a let-down | complete let-down | felt like a let-down,It's a let-down of...
the only snag,idiom,C1,Yagona muammo/to'siq,Единственная проблема/препятствия,"Used to describe a small, unexpected problem or complication that might stop progress.",,20665,idioms,"We have the funding, but the only snag is finding the right location.","Bizda mablag' bor, ammo yagona muammo — to'g'ri joy topish.",,hitch | complication | difficulty | stumbling block,everything is perfect | smooth sailing,hit a snag | minor snag | potential snag | the only snag,The only snag is that it is a big problem
there is a price to pay,idiom,B2,Bunining o'ziga yarasha badali/tovoni bor,Это имеет свою заслугу,Used when describing the negative consequences or sacrifices required for a specific outcome.,,20667,idioms,"Success is great, but there is always a price to pay for it.","Muvaffaqiyat zo'r, lekin uning uchun har doim ma'lum bir badal to'lash kerak.",,There are trade-offs | It involves sacrifices,,a heavy price to pay | a steep price to pay | a high price to pay,There is a price to pay of
not without its faults,idiom,B2,Kamchiliklardan xoli emas,Не без недостатков,Used to introduce negative aspects of something that is otherwise generally seen as good or popular.,,20669,idioms,"The electric vehicle is an excellent invention, but it is not without its faults.","Elektr avtomobili ajoyib ixtiro, ammo u kamchiliklardan xoli emas.",,It has a few flaws | It is imperfect,It is flawless | It is perfect,certainly not without its faults | admittedly not without its faults,It is not without faults it.
on the other hand,idiom,B1,Boshqa tomondan,С другой стороны,"Used to introduce a contrasting point or perspective, typically after presenting an initial argument.",,20671,idioms,"Renewable energy is cheaper long-term; on the other hand, the initial investment is very high.","Qayta tiklanadigan energiya uzoq muddatda arzonroq; boshqa tomondan, boshlang'ich sarmoya juda katta.",,Conversely | In contrast | However,Similarly | Likewise | In the same vein,to present a different view | to balance the argument | a counterpoint,Using 'on another hand' instead of the correct phrase.
having said that,idiom,B2,Shuni aytgan bo'lsam ham,Хоть я и сказал это,Used to concede a point or introduce a contrasting observation that slightly contradicts or moderates what was just stated.,,20673,idioms,"The new software is incredibly complex. Having said that, the training provided is excellent.","Yangi dastur juda murakkab. Shuni aytgan bo'lsam ham, berilgan trening a'lo.",,That said | Nevertheless | All the same,Furthermore | Moreover | In addition,to introduce a caveat | to acknowledge a drawback | to soften a criticism,Using 'have said that' or incorrect tense.
be that as it may,idiom,C1,Qanday bo'lmasin,Так или иначе,"Used to acknowledge a fact or argument as true, but then to state that it does not change the main point or conclusion.",,20675,idioms,"The budget for the project is indeed tight. Be that as it may, we are expected to deliver the same high-quality results.","Loyiha byudjeti, albatta, tor. Shunday bo'lsa-da, bizdan o'sha yuqori sifatli natijalarni yetkazish kutiladi.",,Nevertheless | Nonetheless | Even so,Therefore | Consequently | As a result,to concede a point | to acknowledge an objection | the fact remains,Using it in informal speech where 'anyway' or 'still' would be more natural.
by the same token,idiom,C1,Xuddi shu sababga ko'ra,По той же причине,"Used to introduce a point that logically follows from the previous one, applying the same principle or reasoning to a different situation.",,20677,idioms,"If we reward innovation, we must accept some failed experiments. By the same token, punishing all failure stifles creativity.","Agar innovatsiyani rag'batlantirsak, ayrim muvaffaqiyatsiz tajribalarni ham qabul qilishimiz kerak. Xuddi shu sababga ko'ra, har bir muvaffaqiyatsizlikni jazolash ijodkorlikni bo'g'adi.",,For the same reason | Similarly | In like manner,In contrast | On the contrary,the logic applies | the principle holds | it follows that,Using it as a simple synonym for 'similarly' without the logical connection.
for all that,idiom,B2,Bularning barchasiga qaramay,Несмотря на все это,"Used to introduce a statement that contrasts with or outweighs all the points previously mentioned, often expressing a surprising or significant conclusion.",,20679,idioms,"The film had a weak script, mediocre acting, and poor pacing. For all that, it was a huge commercial success.","Filmning ssenariysi zaif, aktyorligi o'rtacha va tempi sust edi. Shunga qaramay, u katta tijorat muvaffaqiyatiga erishdi.",,Despite all this | Nevertheless | Even so,Therefore | As a result | Consequently,to acknowledge shortcomings | a surprising outcome | a redeeming feature,Using it simply to mean 'because of all that' (causal) instead of its concessive (contrasting) meaning.
on top of that,idiom,B1,"Buning ustiga, bundan tashqari",В дополнение к этому,"Used when adding an extra, usually stronger, point to a previous argument or fact.",,20681,idioms,"The hotel was overpriced. On top of that, the service was terrible.","Mehmonxona qimmat edi. Buning ustiga, xizmati ham yomon edi.",,Additionally | Furthermore | Moreover,Despite this,"On top of that, it is | On top of that, there is | On top of that, she is",Using 'On top of that' to contrast instead of add
for the most part,idiom,B2,"asosan, aksariyat hollarda","в основном, в большинстве случаев","Used to express that something is generally true, though there might be exceptions.",,20683,idioms,"The students were, for the most part, well-behaved during the lecture.","Talabalar, asosan, ma'ruza paytida o'zlarini yaxshi tutishdi.",,generally | by and large,rarely | in specific cases,"For the most part, they | For the most part, it is | For the most part, people",Saying 'in the most part'
a far cry from,idiom,B2,...dan tubdan farq qiladi / ...ga qaraganda butunlay boshqacha,радикально отличается/совершенно отличается от...,Used to express that something is very different from what it used to be or what was expected.,,20685,idioms,This modern office is a far cry from the cramped space we had before.,Bu zamonaviy ofis avvalgi tor joyimizdan mutlaqo farq qiladi.,,Vastly different | Not even close,Just like | Exactly the same,A far cry from reality | A far cry from perfection | A far cry from ideal,It is far cry from
on a par with,idiom,C1,"...bilan teng, bir xil darajada","...равный, на том же уровне",Used to say that two things are of the same quality or standard.,,20687,idioms,The salary offered is on a par with industry standards for this role.,Taklif etilgan maosh ushbu lavozim uchun soha standartlari bilan bir xil darajada.,,Equal to | Matching | Equivalent to,Inferior to | Superior to,roughly on a par with | largely on a par with | clearly on a par with,On par with
nothing like,idiom,B1,...ga umuman o'xshamaydi,совсем не похоже...,Used to emphasise that something is totally different from or not as good as something else.,,20689,idioms,The final movie was nothing like the book I read.,Yakuniy film men o'qigan kitobga umuman o'xshamadi.,,Completely different from | A far cry from,Just like | Identical to,nothing like as good | nothing like as fast | look nothing like,Not nothing like
